battle_level,warrior_hp,warrior_damage,archer_hp,archer_damage,healer_hp,healing_per_2s,boss_hp,boss_damage,monster_coins,boss_coins,hammer_drop_chance,hammer_min,hammer_max,batch_size
1,20,1,10,1,10,3,60,2,4,25,0.2,2,4,2
2,25,2,13,1,13,3,152,5,4,30,0.2,2,4,2
3,31,2,15,1,15,3,186,5,5,35,0.2,2,4,2
4,37,2,19,1,19,3,222,5,5,40,0.2,2,4,2
5,44,2,22,1,22,3,261,5,6,45,0.2,2,4,2
6,51,3,25,1,25,3,303,6,6,50,0.2,2,4,2
7,58,3,29,1,29,3,347,6,6,55,0.2,2,4,2
8,66,3,33,1,33,3,394,6,6,60,0.2,2,4,2
9,74,3,37,1,37,3,443,6,7,65,0.2,2,4,2
10,83,3,41,2,41,6,495,7,7,70,0.2,2,4,2
11,95,3,49,2,49,6,574,8,7,72,0.2,2,4,4
12,111,4,57,2,57,9,666,9,7,74,0.2,2,4,4
13,127,4,65,3,65,9,770,10,8,75,0.2,2,4,4
14,148,5,74,3,74,9,889,11,8,77,0.2,2,4,4
15,170,5,87,3,87,12,1028,12,8,79,0.2,2,4,4
16,197,6,100,4,100,12,1188,13,8,81,0.2,2,4,4
17,228,6,114,4,114,12,1367,15,9,83,0.2,2,4,4
18,261,7,133,5,133,15,1576,16,9,85,0.2,2,4,4
19,304,8,152,5,152,18,1815,18,9,87,0.2,2,4,4
20,348,9,172,6,172,18,2088,20,10,90,0.2,2,4,4
21,8000,400,4000,260,4000,400,23200,940,10,92,0.2,9,16,6
22,8606,424,4303,276,4303,430,24957,996,10,94,0.2,9,16,6
23,9257,449,4628,292,4628,463,26845,1055,10,96,0.2,9,16,6
24,9958,476,4979,309,4979,498,28878,1119,10,99,0.2,9,16,6
25,10711,504,5356,328,5356,536,31062,1184,10,101,0.2,9,16,6
26,11522,534,5761,347,5761,576,33414,1255,10,104,0.2,9,16,6
27,12394,566,6197,368,6197,620,35943,1330,11,107,0.2,9,16,6
28,13332,600,6666,390,6666,667,38663,1410,11,109,0.2,9,16,6
29,14341,635,7170,413,7170,717,41589,1492,11,112,0.2,9,16,6
30,15427,673,7714,437,7714,771,44738,1582,12,115,0.2,9,16,6
31,16594,713,8297,463,8297,830,48123,1676,12,118,0.2,11,20,8
32,17851,756,8926,491,8926,893,51768,1777,12,121,0.2,11,20,8
33,19202,801,9601,521,9601,960,55686,1882,13,124,0.2,11,20,8
34,20655,848,10328,551,10328,1033,59900,1993,13,127,0.2,11,20,8
35,22218,899,11109,584,11109,1111,64432,2113,14,130,0.2,11,20,8
36,23900,952,11950,619,11950,1195,69310,2237,14,133,0.2,11,20,8
37,25709,1009,12854,656,12854,1285,74556,2371,14,136,0.2,11,20,8
38,27655,1069,13828,695,13828,1383,80200,2512,14,140,0.2,11,20,8
39,29748,1133,14874,736,14874,1487,86269,2663,14,143,0.2,11,20,8
40,32000,1200,16000,780,16000,1600,92800,2820,15,147,0.2,11,20,8
41,120000,4000,60000,2600,60000,6000,348000,9400,15,151,0.2,14,24,10
42,129083,4238,64542,2755,64542,6454,374341,9959,16,154,0.2,14,24,10
43,138853,4490,69426,2918,69426,6943,402674,10552,16,158,0.2,14,24,10
44,149363,4758,74682,3093,74682,7468,433153,11181,17,162,0.2,14,24,10
45,160668,5041,80334,3277,80334,8033,465937,11846,17,166,0.2,14,24,10
46,172830,5341,86415,3472,86415,8642,501207,12551,18,170,0.2,14,24,10
47,185911,5659,92956,3678,92956,9296,539142,13299,18,175,0.2,14,24,10
48,199983,5996,99992,3897,99992,9999,579951,14091,18,179,0.2,14,24,10
49,215120,6353,107560,4129,107560,10756,623848,14930,19,183,0.2,14,24,10
50,231402,6731,115701,4375,115701,11570,671066,15818,19,188,0.2,14,24,10
51,248917,7131,124458,4635,124458,12446,721859,16758,20,193,0.2,16,28,12
52,267758,7556,133879,4911,133879,13388,776498,17757,20,197,0.2,16,28,12
53,288025,8006,144012,5204,144012,14401,835272,18814,21,202,0.2,16,28,12
54,309825,8482,154912,5513,154912,15491,898492,19933,22,207,0.2,16,28,12
55,333276,8987,166638,5842,166638,16664,966500,21119,22,213,0.2,16,28,12
56,358502,9522,179251,6189,179251,17925,1039656,22377,22,218,0.2,16,28,12
57,385637,10089,192818,6558,192818,19282,1118347,23709,23,223,0.2,16,28,12
58,414827,10690,207414,6948,207414,20741,1202998,25122,23,229,0.2,16,28,12
59,446225,11326,223112,7362,223112,22311,1294052,26616,24,235,0.2,16,28,12
60,480000,12000,240000,7800,240000,24000,1392000,28200,25,241,0.2,16,28,12
61,1800000,40000,900000,26000,900000,90000,5220000,94000,26,247,0.2,18,32,14
62,1936243,42381,968122,27548,968122,96812,5615105,99595,26,253,0.2,18,32,14
